0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:46 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:46 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:46 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:46 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:46 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:46 +0900] "GET /myPage/resources/images/favicon-32x32.png HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:46 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:49 +0900] "GET /resources/images/book.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:53 +0900] "GET /manager/lecture_management HTTP/1.1" 200 51041
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:54 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:54 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:54 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:54 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:54 +0900] "GET /manager/resources/images/favicon-32x32.png HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:56 +0900] "GET /manager/notice_list HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:56 +0900] "GET /resources/images/important1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:56 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:56 +0900] "GET /resources/images/notice.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:56 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:56 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:48:56 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:00 +0900] "GET /manager/student_list HTTP/1.1" 200 44957
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:00 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:00 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:00 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:00 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:30 +0900] "GET /manager/professor_list HTTP/1.1" 200 26805
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:30 +0900] "GET /resources/images/top.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:30 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:33 +0900] "GET /manager/professor_detail?professor_id=goItlow9 HTTP/1.1" 200 7984
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:33 +0900] "GET /resources/css/list/listCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:33 +0900] "GET /manager/professor_detail/picture/446aed5df61544a1a5c18920bef3dca2$$%EA%B5%90%EC%88%98%EC%A6%9D%EB%AA%85%EC%82%AC%EC%A7%842.jpg HTTP/1.1" 200 95697
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:33 +0900] "GET /manager/images/logo.svg HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:33 +0900] "GET /manager/favicon.ico HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:37 +0900] "GET /manager/enterprise_introduce HTTP/1.1" 200 27635
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:37 +0900] "GET /resources/images/notebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:37 +0900] "GET /resources/images/memocover.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:37 +0900] "GET /manager/picture/enterprise_introduce/1 HTTP/1.1" 200 57127
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:37 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:40 +0900] "GET /manager/education_curriculum HTTP/1.1" 200 25898
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:49:41 +0900] "GET /manager/picture/education_curriculum/2 HTTP/1.1" 200 219490
